Thu Apr 10 20:13:38 2025    output.prof

         354115 function calls (353583 primitive calls) in 0.266 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:476(parse_flow_sequence_entry)
       38    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2643(multi_dot)
      205    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1311(scan_plain_spaces)
        1    0.000    0.000    0.001    0.001 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:54(construct_document)
     8558    0.001    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:87(peek)
     3180    0.001    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:279(stale_possible_simple_keys)
     5865    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      456    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\statesp.py:2141(_ssmatrix)
      114    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:303(set_outputs)
      456    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_methods.py:61(_all)
      112    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:545(fetch_value)
    58/30    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:410(construct_yaml_map)
       29    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:215(construct_mapping)
       38    0.000    0.000    0.001    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:155(_scale_matrices)
      861    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:114(get_mark)
     9370    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2042    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       38    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:1097(inv)
       38    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\index_tricks.py:326(__getitem__)
      521    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:135(get_token)
       29    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:132(construct_mapping)
      114    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:270(set_inputs)
      266    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2692(max)
       76    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qr.py:11(safecall)
      208    0.000    0.000    0.001    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\composer.py:88(compose_scalar_node)
      245    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:67(construct_object)
      228    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:158(eye)
      912    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:606(pop_with_default)
     4080    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:485(triu)
       29    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:422(parse_block_mapping_first_key)
     4844    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      154    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
      418    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\re\__init__.py:164(match)
      266    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_methods.py:39(_amax)
      548    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:1416(scan_line_break)
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2785(_multi_dot_matrix_chain_order)
     2267    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       76    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_basic.py:503(_solve_triangular)
     2190    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      114    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:336(set_states)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:15(__init__)
      114    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\core\model.py:126(linearize)
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\_decomp_qz.py:51(_iuc)
      304    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\blas.py:384(getter)
       77    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
      244    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\resolver.py:143(resolve)
